"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone","scenario"
150,627.08,33161.43,21225.86,22925.85,21282.4,34.5417884790542,8741.674,253.075315,13.9402851310838,0.0717345442074367,1,"NewCa E","Study Area","tp2_c_2050_121520"
237,692.25,33004.89,20784.73,23051.73,20555.11,30.2392612538132,9355.6316,309.38691,13.5148163235825,0.0739928664997882,1,"NewCa E","Study Area","tp2_c_2050_121520"
344,761.06,32580.19,20644.23,22181.76,20533.23,33.5747207434038,10243.8051,305.1047,13.4599178776969,0.0742946583394094,1,"NewCa W","Study Area","tp2_c_2050_121520"
229,978.71,18389.3,10636.7,11328.31,10515,32.0400784029128,12465.8246,389.069728333333,12.7369952284129,0.0785114528243884,1,"NewCa W","Study Area","tp2_c_2050_121520"
158,1117.84,39469.41,24779.39,27786.25,24498.46,30.7735401680025,18982.6303,616.849091666667,16.9815271416303,0.0588875188703433,1,"NewCa W","Study Area","tp2_c_2050_121520"
238,1121.35,26718.21,16288.05,17714.21,16284.81,31.3971167209991,12957.366,412.692863333333,11.5551487046863,0.0865415085133815,1,"NewCa E","Study Area","tp2_c_2050_121520"
226,1128.07,19125.4,11015.98,11779.7,10913.16,30.9583919763288,13614.0297,439.752481666667,12.068426338791,0.0828608446476358,1,"NewCa E","Study Area","tp2_c_2050_121520"
222,1448.84,24972.27,14981.63,15971.69,14790.29,31.3518069637382,18656.0485,595.054968333333,12.8765415780901,0.0776606042806975,1,"NewCa W","Study Area","tp2_c_2050_121520"
164,1532.56,39049.26,25044.86,26714.46,24818.43,33.7059740825411,20844.208,618.412865,13.6009082841781,0.0735245013866682,1,"NewCa E","Study Area","tp2_c_2050_121520"
142,1599.22,45013.73,28134.14,30120,27859.41,32.395175956117,23208.1657,716.408076666667,14.5121782493966,0.0689076431404486,1,"NewCa W","Study Area","tp2_c_2050_121520"
154,1913.77,41762.61,26505.47,28514.89,26382.5,33.1806520195838,27506.0921,828.979855,14.3727261374146,0.0695762230796864,1,"NewCa W","Study Area","tp2_c_2050_121520"
318,1964.31,41241.14,26698.22,27648.73,26600.14,33.7761818507991,25892.9654,766.604275,13.1817103206724,0.075862689717262,1,"NewCa W","Study Area","tp2_c_2050_121520"
149,2699.92,24851.62,14949.14,15453.09,14871.9,32.2130869690091,31411.2154,975.107273333333,11.634128196391,0.0859540124639685,1,"NewCa E","Study Area","tp2_c_2050_121520"
327,2956.28,41327.97,25806.23,28391.84,25428.11,29.6875210527202,39625.9864,1334.76912166667,13.4040031390802,0.0746045781714597,1,"NewCa W","Study Area","tp2_c_2050_121520"
152,3353.88,49409.13,31829.24,34075.47,31405.71,32.7529622023402,50032.9657,1527.585975,14.9179355552375,0.0670334039383158,1,"NewCa W","Study Area","tp2_c_2050_121520"
