"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
9,158,0.05,14.04,11.69,14.04,11.69,49.957264957265,0.5845,0.0117
9,164,0.28,10.34,7.83,11.13,8,45.4352030947776,2.1924,0.0482533333333333
9,222,0.23,10.38,8.45,10.38,8.45,48.8439306358381,1.9435,0.03979
9,223,0.04,10.94,9.44,10.94,9.44,51.7733089579525,0.3776,0.00729333333333333
9,224,0.01,10.56,8.44,10.56,8.44,47.9545454545454,0.0844,0.00176
9,226,0.09,10.73,8.5,10.73,8.5,47.5302889095992,0.765,0.016095
9,227,0.11,10.35,8.46,10.35,8.46,49.0434782608696,0.9306,0.018975
9,228,0.02,8.33,7.1,8.33,7.1,51.140456182473,0.142,0.00277666666666667
9,229,0.12,10.82,9.49,10.82,9.49,52.6247689463956,1.1388,0.02164
9,237,0.04,13.25,10.81,13.25,10.81,48.9509433962264,0.4324,0.00883333333333333
9,238,0.15,10.64,8.65,10.64,8.65,48.7781954887218,1.2975,0.0266
9,318,0.36,8.61,7.46,8.61,7.46,51.98606271777,2.6856,0.05166
9,327,0.47,13.64,11.62,13.64,11.62,51.1143695014663,5.4614,0.106846666666667
9,344,0.18,11.28,9.68,11.28,9.68,51.4893617021277,1.7424,0.03384
9,345,0.04,10.9,8.93,10.9,8.93,49.1559633027523,0.3572,0.00726666666666667
10,142,0.54,12.87,8.18,12.87,8.18,38.1351981351981,4.4172,0.11583
10,149,2.38,8.53,7.37,8.55,7.37,51.8405627198124,17.5406,0.338356666666667
10,150,0.05,9.34,7.84,9.35,7.84,50.3640256959315,0.392,0.00778333333333333
10,151,3.42,10.05,8.26,10.07,8.26,49.3134328358209,28.2492,0.57285
10,152,1.08,11.85,9.94,11.86,9.94,50.3291139240506,10.7352,0.2133
10,154,3.31,10.95,9.67,10.97,9.67,52.986301369863,32.0077,0.604075
10,155,0.23,12.6,10.78,12.62,10.78,51.3333333333333,2.4794,0.0483
10,158,0.24,14.07,11.91,14.09,11.91,50.7889125799574,2.8584,0.05628
10,164,2.19,9.75,7.58,10.72,7.59,46.6461538461538,16.6002,0.355875
10,222,0.96,10.42,8.66,10.43,8.66,49.8656429942418,8.3136,0.16672
10,223,0.17,10.98,9.65,11,9.65,52.7322404371585,1.6405,0.03111
10,224,0.06,10.59,8.65,10.61,8.65,49.0084985835694,0.519,0.01059
10,226,0.39,10.77,8.71,10.79,8.71,48.5236768802229,3.3969,0.070005
10,227,0.5,10.39,8.68,10.41,8.68,50.1251203079885,4.34,0.0865833333333333
10,228,0.12,8.37,7.31,8.39,7.31,52.4014336917563,0.8772,0.01674
10,229,0.46,10.86,9.71,10.88,9.71,53.646408839779,4.4666,0.08326
10,237,0.16,13.29,11.03,13.31,11.03,49.7968397291196,1.7648,0.03544
10,238,0.7,10.68,8.87,10.7,8.87,49.8314606741573,6.209,0.1246
10,318,1.56,8.65,7.67,8.67,7.67,53.2023121387283,11.9652,0.2249
10,327,2.02,13.67,11.83,13.69,11.83,51.9239209948793,23.8966,0.460223333333333
10,344,1.18,11.32,9.9,11.33,9.9,52.4734982332155,11.682,0.222626666666667
10,345,0.23,10.94,9.14,10.96,9.14,50.127970749543,2.1022,0.0419366666666667
11,142,0.71,14.25,8.76,14.25,8.76,36.8842105263158,6.2196,0.168625
11,149,2.92,9.82,8.13,9.82,8.13,49.6741344195519,23.7396,0.477906666666667
11,150,0.07,10.62,8.6,10.62,8.6,48.5875706214689,0.602,0.01239
11,151,4.68,11.34,9.02,11.34,9.02,47.7248677248677,42.2136,0.88452
11,152,1.46,13.13,10.71,13.13,10.71,48.9413556740289,15.6366,0.319496666666667
11,154,3.29,12.24,10.43,12.24,10.43,51.1274509803922,34.3147,0.67116
11,155,0.3,13.89,11.55,13.89,11.55,49.8920086393089,3.465,0.06945
11,158,0.31,15.36,12.67,15.36,12.67,49.4921875,3.9277,0.07936
